time,R,phase_diff,phase_a,phase_b
42.78,0.9931935023426733,0.23348204392875238,2.0791624197072758,1.8456803757785234
42.79,0.992780818039387,0.24046429787865306,2.101674394351473,1.8612100964728198
42.8,0.9929677954843036,0.2373261382979626,2.1252640721811367,1.887937933883174
42.81,0.9930518147879568,0.23590246063657583,2.149402960747644,1.913500500111068
42.82,0.9919974067325691,0.2531922540212888,2.174774893172906,1.9215826391516173
42.83,0.9923986445091066,0.24675502280740758,2.200784952588235,1.9540299297808275
42.84,0.9915418731955303,0.2603086950376754,2.2281505752791757,1.9678418802415003
42.85,0.9920225753356576,0.252793256817216,2.256207955709391,2.003414698892175
42.86,0.9920024800508506,0.2531118771828723,2.2857088926906313,2.032597015507759
42.87,0.9913875476335632,0.26267612341741625,2.315916458057168,2.0532403346397516
42.88,0.9909258094401693,0.26963601174822044,2.3476166713684408,2.0779806596202204
42.89,0.9914566935823497,0.26161802519707766,2.379993420622502,2.1183753954254243
42.9,0.991017113871606,0.26827399642053384,2.4138659786454286,2.145591982224895
42.91,0.9911432466576733,0.2663810501953456,2.4483312954952154,2.18195024529987
42.92,0.9912448988582943,0.26484571133619866,2.484240468142063,2.2193947568058645
42.93,0.9914336948610452,0.26197043219801003,2.5205944281801007,2.2586239959820906
42.94,0.9920996953031761,0.25156675673964074,2.5582749068249675,2.306708150085327
42.95,0.9925190806968374,0.24478995590864958,2.596177022855826,2.3513870669471766
42.96,0.9928643006567175,0.23906822283600337,2.6352132263135224,2.396145003477519
42.97,0.9934831520034005,0.2284546089026227,2.6741630981580378,2.445708489255415
42.98,0.9938224052808213,0.22242240290135049,2.7139724152706495,2.491550012369299
42.99,0.9947492582867803,0.20504327750336201,2.753296286637661,2.548253009134299
43.0,0.9955860487415904,0.18798302576297485,2.793120123133139,2.605137097370164
43.01,0.99662017263259,0.16448058748398392,2.8319666745272376,2.6674860870432537
43.02,0.9974848438028528,0.1418791384238496,2.870871681947696,2.7289925435238462
43.03,0.9981797804579302,0.12069041420506513,2.9082180223569885,2.7875276081519234
43.04,0.9990216338370875,0.08847714904714588,2.945106708314975,2.8566295592678292
43.05,0.9995574583362389,0.059502894594088286,2.979771745773308,2.9202688511792196
43.06,0.9999523860797389,0.019517028075685748,3.0133976551550368,2.993880627079351
43.07,0.999925227785837,-0.024457824268810945,3.0440563435363397,3.0685141678051506
43.08,0.9994143494180131,-0.06845189583057865,3.0730363134084593,3.141488209239038
43.09,0.9984040891436898,-0.1130074519890394,3.0982274085226935,-3.0719504466678536
43.1,0.9962081573388943,-0.17422379704906835,3.121045151227948,-2.98791635890257
43.11,0.9930893391443999,-0.23526385349819307,3.139170484700167,-2.9087509689812263
43.12,0.9888831624375235,-0.29849618005445455,-3.129009745469244,-2.8305135654147895
43.13,0.9834763331743862,-0.36408102030277467,-3.1196808792203137,-2.755599858917539
43.14,0.9760721105177548,-0.43839641482520214,-3.114252387511938,-2.675855972686736
43.15,0.9669713595253856,-0.5154576546840883,-3.1155293652966476,-2.6000717106125593
43.16,0.9571730020816626,-0.5874434770730255,-3.121446660473574,-2.5340031834005488
43.17,0.9421713410798263,-0.6834897279437322,-3.1350210176703723,-2.45153128972664
43.18,0.9254903438539819,-0.7769364173274765,3.1294410549753717,-2.3768078348767383
43.19,0.906411768122726,-0.8721724156832596,3.1024744138820455,-2.3085384776142814
43.2,0.8826962617876997,-0.9784545404391757,3.0704488569632713,-2.2342819097771396
43.21,0.8589600459800698,-1.0751222370528655,3.0304373502349575,-2.1776257198917635
43.22,0.8281045930015217,-1.190156655172031,2.9865300268634787,-2.1064986251440767
